ID,idade,gênero,gênero_3_TEXT,decl_racial,decl_racial_5_TEXT,escolaridade,escolaridade_transf,área_estudo,curso,cidade_bairro_1,renda,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,verif_contrato_2,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,A casa_1,A casa_2,A casa_3,verif_casa,economicam,felicidade,atratividade_trab,verif_maria,setal1997-funnel
10,31,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Medicina,São José do Rio Preto,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",2,NA,NA,E,20%,NA,NA,Igual,Igual,Aumentou,1,2,3,2 anos,Maria,NA,NA,60 e 150,7
11,24,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Medicina,São José do Rio preto - SP,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",3,NA,C,NA,20%,Igual,Igual,NA,NA,Aumentou,3,2,1,2 anos,NA,Maria,NA,60 e 150,6
12,22,Homem,NA,Branco,NA,Superior (incompleto),2,Biológicas,Medicina,São José do Rio Preto,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,Não sei,Maria,NA,NA,60 e 150,8
13,28,Homem,NA,Asiático,NA,Pós graduação (incompleta),2,Humanas,Mestrado administração,Sao Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,NA,C,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,10
14,20,Mulher,NA,Asiático,NA,Superior (incompleto),2,Humanas,Marketing,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,NA,F,20%,Igual,Menos suscetível,NA,NA,Aumentou,1,2,3,1 ano,Maria,NA,NA,60 e 150,7
15,22,Homem,NA,Branco,NA,Superior (incompleto),2,Saúde,Medicina,São José do Rio Preto,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,NA,F,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,1 ano,NA,NA,Maria,60 e 150,9
16,22,Mulher,NA,Pardo,NA,Superior (incompleto),2,Biológicas,Farmácia e bioquímica,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,B,NA,NA,Não sei,NA,NA,Mais suscetível,Menos suscetível,Aumentou,1,2,3,Não sei,NA,Carolina,NA,30 e 90,6
17,23,Homem,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,F,Não sei,Igual,Igual,NA,NA,Aumentou,1,2,3,1 ano,NA,NA,Carolina,60 e 150,8
18,50,Homem,NA,Branco,NA,Superior (completo),2,Exatas,Tecnologia da Informação,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,B,NA,NA,20%,Mais suscetível,Igual,NA,NA,Permaneceu o mesmo,3,1,2,Não sei,Maria,NA,NA,60 e 150,9
19,38,Homem,NA,Branco,NA,Ensino Fundamental (completo),1,Não cursei,NA,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,2,1,2 anos,Carolina,NA,NA,30 e 90,7
20,22,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia de Produção,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,NA,NA,F,10%,NA,NA,Igual,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,10
21,22,Homem,NA,Branco,NA,Superior (incompleto),2,Saúde,medicina,sao paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,10%,Igual,Igual,NA,NA,Aumentou,1,2,3,1 ano,NA,NA,Maria,60 e 150,10
22,24,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Não cursei,NA,Porto Alegre,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",3,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,Carolina,NA,NA,60 e 150,10
23,25,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Marketing,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,D,NA,10%,Igual,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,7
24,25,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Psicologia,Rio de Janeiro,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,NA,NA,F,10%,Igual,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,8
25,66,Mulher,NA,Asiático,NA,Pós graduação (incompleta),2,Exatas,Engenharia Quimica,Campinas,NA,2,B,NA,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,2,1,3,1 ano,Carolina,NA,NA,60 e 150,9
26,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Marketing,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,D,NA,10%,NA,NA,Mais suscetível,Igual,Aumentou,1,2,3,1 ano,NA,Maria,NA,60 e 150,10
27,22,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Psicologia,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",4,NA,NA,F,Não sei,Igual,Igual,NA,NA,Aumentou,2,3,1,6 meses,NA,NA,Maria,100 e 50,1
28,61,Mulher,NA,Branco,NA,Superior (completo),2,Saúde,Especialização em técnicas integrativas,Campinas - SP,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",2,B,NA,NA,30%,NA,NA,Menos suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,5
29,55,Mulher,NA,Branco,NA,Pós graduação (completa),2,Humanas,Pedagogia Letras,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,B,NA,NA,30%,Menos suscetível,Mais suscetível,NA,NA,Permaneceu o mesmo,3,1,2,2 anos,Maria,NA,NA,60 e 150,7
30,23,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Marketing,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,NA,F,20%,NA,NA,Igual,Igual,Aumentou,1,2,3,1 ano,NA,Carolina,NA,60 e 150,10
31,26,Outro,Não binário,Branco,NA,Superior (completo),2,Humanas,Filosofia,Jaboticatubas,Até 1 salário mínimo (R$ 1045),1,NA,D,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,Carolina,NA,NA,60 e 150,4
32,26,Mulher,NA,Branco,NA,Pós graduação (completa),2,Saúde,Nutrição,Pelotas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,F,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Carolina,60 e 150,9
33,22,Homem,NA,Branco,NA,Ensino Médio (completo),1,Não cursei,NA,São Paulo,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",4,NA,D,NA,20%,NA,NA,Mais suscetível,Menos suscetível,Diminuiu,3,2,1,Não sei,NA,NA,Carolina,60 e 150,6
34,59,Mulher,NA,Branco,NA,Superior (completo),2,Biológicas,Odontologia,Sao paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,A,NA,NA,Não sei,Igual,Igual,NA,NA,Permaneceu o mesmo,2,1,3,1 ano,NA,Maria,NA,30 e 90,7
35,22,Mulher,NA,Branco,NA,Ensino Médio (completo),1,Saúde,Psicologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,D,NA,20%,NA,NA,Igual,Menos suscetível,Permaneceu o mesmo,3,1,2,1 ano,NA,Carolina,NA,60 e 150,3
36,21,Homem,NA,Asiático,NA,Superior (incompleto),2,Humanas,Direito,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",4,NA,NA,E,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,2,1,3,1 ano,Maria,NA,NA,60 e 150,9
37,27,Homem,NA,Pardo,NA,Pós graduação (completa),2,Humanas,Música e Filosofia,São Paulo,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",1,B,NA,NA,Não sei,Menos suscetível,Igual,NA,NA,Permaneceu o mesmo,3,2,1,Não sei,NA,NA,Maria,60 e 150,5
38,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Exatas,Engenharia de Computação,São Paulo,NA,4,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,2,1,1 ano,Maria,NA,NA,60 e 150,9
39,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Letras,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,NA,NA,Carolina,60 e 150,6
40,22,Homem,NA,Branco,NA,Superior (incompleto),2,Saúde,medicina,Belo Horizonte,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,F,20%,NA,NA,Igual,Igual,Aumentou,1,2,3,1 ano,NA,NA,Carolina,60 e 150,9
41,21,Homem,NA,Branco,NA,Superior (incompleto),2,Saúde,Medicina,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,D,NA,20%,Igual,Menos suscetível,NA,NA,Permaneceu o mesmo,1,2,3,2 anos,Maria,NA,NA,60 e 150,4
42,50,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Administração,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",2,NA,D,NA,20%,NA,NA,Igual,Igual,Permaneceu o mesmo,1,2,3,1 ano,NA,Maria,NA,60 e 150,10
43,23,Outro,Não,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",4,B,NA,NA,20%,Igual,Menos suscetível,NA,NA,Aumentou,3,2,1,1 ano,Maria,NA,NA,60 e 150,8
44,23,Mulher,NA,Preto,NA,Pós graduação (incompleta),2,Saúde,Pós graduação em analise comportamental aplicada ao autismo,sp,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,NA,E,20%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,8
45,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,B,NA,NA,Não sei,Menos suscetível,Menos suscetível,NA,NA,Não sei,1,2,3,1 ano,Maria,NA,NA,60 e 150,8
46,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Nutrição,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",5,NA,D,NA,30%,Mais suscetível,Igual,NA,NA,Aumentou,3,2,1,1 ano,NA,Carolina,NA,60 e 150,8
47,21,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Publicidade e Peopaganda,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,NA,NA,F,Não sei,NA,NA,Mais suscetível,Igual,Aumentou,3,1,2,1 ano,NA,NA,Maria,60 e 150,5
48,30,Homem,NA,Pardo,NA,Pós graduação (completa),2,Exatas,Administração,Belém,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",2,B,NA,NA,20%,Menos suscetível,Menos suscetível,NA,NA,Aumentou,2,3,1,Não sei,NA,Carolina,NA,60 e 150,7
49,50,Homem,NA,Branco,NA,Pós graduação (completa),2,Exatas,Adm,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",3,NA,NA,F,30%,NA,NA,Igual,Igual,Permaneceu o mesmo,3,2,1,1 ano,NA,NA,Maria,60 e 150,8
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,65,Mulher,NA,Branco,NA,Superior (completo),2,Humanas,Arquitetura,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,E,20%,NA,NA,Mais suscetível,Menos suscetível,Permaneceu o mesmo,1,2,3,1 ano,NA,Carolina,NA,60 e 150,NA
54,67,Homem,NA,Branco,NA,Superior (incompleto),2,Exatas,Administracao,Sao Caetano do sul,"De 1 a 3 salários mínimos (R$ 1045,01 até R$ 3135)",2,NA,D,NA,20%,Igual,Menos suscetível,NA,NA,Aumentou,3,1,2,1 ano,NA,NA,Maria,60 e 150,5
55,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,24,Homem,NA,Branco,NA,Pós graduação (completa),2,Humanas,Direito,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maria,NA,NA,60 e 150,NA
57,21,Mulher,NA,Branco,NA,Ensino Fundamental (incompleto),1,Humanas,teste,Sao paulo,Nenhuma,1,B,NA,NA,30%,NA,NA,Mais suscetível,Menos suscetível,Aumentou,2,3,1,1 ano,NA,NA,Carolina,100 e 50,2
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
